Length; Clients; Wait; Queries; Server works; Mean client waits
1250; 5; 250; 10; 2,64; 3,4347826086956523; 
1250; 10; 250; 10; 3,217391304347826; 4,0989010989010985; 
1250; 15; 250; 10; 2,926470588235294; 4,514705882352941; 
1250; 20; 250; 10; 2,9668508287292816; 5,342541436464089; 
1250; 25; 250; 10; 2,6769911504424777; 5,575221238938053; 
1250; 30; 250; 10; 2,795620437956204; 5,867158671586716; 
1250; 35; 250; 10; 2,75; 6,8924050632911396; 
1250; 40; 250; 10; 2,703601108033241; 6,836565096952908; 
1250; 45; 250; 10; 2,6855036855036856; 6,495073891625616; 
1250; 50; 250; 10; 2,650442477876106; 5,605321507760532; 
1250; 55; 250; 10; 2,619718309859155; 6,824596774193548; 
1250; 60; 250; 10; 2,5701107011070112; 7,711645101663586; 
1250; 65; 250; 10; 2,6023890784982937; 7,040955631399317; 
1250; 70; 250; 10; 2,613312202852615; 6,938193343898574; 
1250; 75; 250; 10; 2,528803545051699; 6,5576923076923075; 
1250; 80; 250; 10; 2,5578512396694215; 6,396671289875173; 
1250; 85; 250; 10; 2,615483870967742; 6,894255874673629; 
